Pharmacy,Populations,Disability,Insurance,Poverty,Work
SAM'S CLUB - 8129,"[['37129010501', '37129010501']]",[0.06798245614035088],[0.7412280701754386],[0.2993421052631579],[0.853714661406969]
BI-LO - 445,[['37119005306']],[0.07041648776298841],[0.6899957063117218],[0.2548596112311015],[0.7208872458410351]
CVS - 7031,"[['37081016008', '37081016009', '37081016009']]",[0.07756587371116652],[0.9710223060853157],[0.024327784891165175],[0.8486665952661454]
CARRBORO COMMUNITY HEALTH CENTER PHARMACY,[['37135011300']],[0.08426966292134831],[0.9353932584269663],[0.5842696629213483],[0.7961198093941457]
WALGREENS - 11423,"[['37135011300', '37135011601']]",[0.06412103746397695],[0.9497478386167147],[0.5862068965517241],[0.7417707150964813]
ALMAND'S DRUG STORE,"[['37127010302', '37127010506']]",[0.11480730223123732],[0.9327924273157538],[0.09171075837742504],[0.7137062339880444]
CVS - 3385,[['37147000701']],[0.15867158671586715],[0.9166666666666666],[0.43067937288656627],[0.7310282891782667]
SOUTHSIDE DRUG COMPANY,"[['37181960700', '37181960800', '37181960901', '37181960902', '37181960903', '37181960700']]",[0.17135792076603357],[0.8640500868101226],[0.29298421580531064],[0.675677937730164]
BI-LO - 607,"[['37179020403', '37179020406']]",[0.12844260297343407],[0.7941749939068974],[0.10259564522081437],[0.7116091752757836]
RITE AID - 11370,[['37077970702']],[0.32309688581314877],[0.8481833910034602],[0.22145328719723184],[0.6654676258992805]
HARRIS TEETER - 88,"[['37119005908', '37119005910', '37119005910']]",[0.057581708514518166],[0.9061579464160471],[0.03423017326383998],[0.8977171985815603]
NEIL MEDICAL GROUP,"[['37079950301', '37107010900', '37107010900']]",[0.23577386468952735],[0.8869323447636701],[0.23520710059171598],[0.7489057484680478]
CVS - 6401,"[['37023020500', '37023020500']]",[0.21377072819033885],[0.839942321557318],[0.23035328046142753],[0.7772277227722773]
RITE AID - 11566,"[['37021001500', '37021001601', '37021001601']]",[0.14507685916078106],[0.8861653510594101],[0.10009152175721774],[0.7830583922492799]
RITE AID - 11412,[['37127010506']],[0.09861197431116636],[0.929562875492024],[0.0534604227103191],[0.7243670886075949]
HARRIS TEETER - 209,[['37119006212']],[0.0661317772915147],[0.9360564065159251],[0.060782883539995135],[0.8910209992758871]
LEGACY CONSULTANT PHARMACY,"[['37067003803', '37067003804']]",[0.0883489784649365],[0.9027056874654886],[0.12711209276642738],[0.8066997916332745]
CVS - 1752,"[['37063002007', '37063002025', '37063002026', '37063002007']]",[0.11420602170258291],[0.8574812777013602],[0.12805443860191773],[0.8215408338769943]
WALGREENS - 9897,"[['37107010500', '37107010600', '37107010600']]",[0.29689009078616957],[0.8986864979717983],[0.2459918871933552],[0.7105657549644061]
WAL-MART SUPERCENTER - 1155,"[['37155961301', '37155961400', '37155960900']]",[0.13488472312001723],[0.9102564102564102],[0.17251399052948774],[0.6624622490673299]
BLOUNTS MUTUAL DRUGS,"[['37041930101', '37187950100', '37041930101']]",[0.1761545922554652],[0.9030067895247332],[0.31262675580259897],[0.661851332398317]
CVS - 4441,"[['37081013601', '37081014406', '37081014410', '37081014411', '37081014412', '37081016304', '37081014410']]",[0.11668574586507717],[0.9111040934749142],[0.13166441136671178],[0.7560712358337831]
CVS - 7344,[['37049961201']],[0.03618272274988693],[0.9687924016282226],[0.12451906260930395],[0.79]
WAL-MART - 2496,"[['37189920601', '37189920601']]",[0.1330686917500863],[0.9099068001380739],[0.6230936819172114],[0.7896329928111994]
BIOLOGICS,"[['37183053512', '37183053512']]",[0.053612059158134245],[0.9732650739476678],[0.024744027303754267],[0.8798925556408289]
MOUNT OLIVE PHARMACY,"[['37191000700', '37191000700']]",[0.1732633279483037],[0.8291599353796446],[0.23747980613893377],[0.793993993993994]
WALGREENS - 6927,"[['37195000502', '37195000501']]",[0.12453703703703704],[0.9651620370370371],[0.038657407407407404],[0.82715322738866]
SAM'S CLUB - 8223,"[['37183054501', '37183054502', '37183054502']]",[0.09868885922901782],[0.7176729214100651],[0.2292027048278031],[0.7626522327469554]
LUTHERAN SERVICES FOR THE AGING,"[['37159051102', '37159050300']]",[0.2402334979793444],[0.9149827870079329],[0.23349797934440952],[0.6940385061470656]
BEDDINGFIELD DRUG COMPANY,"[['37101040906', '37101041004']]",[0.12402088772845953],[0.8519582245430809],[0.07806788511749348],[0.8310291858678955]
RITE AID - 11491,[['37119001917']],[0.08949152542372882],[0.7575141242937853],[0.255819209039548],[0.7545076282940361]
VALUE RX PHARMACY,"[['37061090302', '37061090301']]",[0.179679778612374],[0.8910851947025104],[0.10869126840088728],[0.781812725090036]
FLETCHER COMMUNITY PHARMACY,"[['37089930501', '37089930800', '37089930501']]",[0.15401464850434662],[0.8600177972482717],[0.0873404622283546],[0.8609870477891916]
BLOWING ROCK HOSPITAL / BLOWING ROCK SKILLED NURSING FACILITY,"[['37027031000', '37189920800', '37189920800']]",[0.14195353363337793],[0.9114462960710376],[0.03656150648080215],[0.7751729438893159]
ELK PHARMACY,"[['37193961202', '37171930901']]",[0.21922230374174614],[0.8443140132061628],[0.15210643015521064],[0.760419091967404]
MARINE CORPS EXCHANGE PHARMACY-DOD,"[['37133000500', '37133000600', '37133000600']]",[0.0],[0.9675324675324676],[0.030927835051546393],[0.9991006826636144]
MEDPRO RX,"[['37183053730', '37183054007', '37183053730']]",[0.05133572567783094],[0.9071969696969697],[0.08512553766129839],[0.837953385739898]
CVS - 7943,[['37179021009']],[0.02494850080109865],[0.9766536964980544],[0.019684138246738384],[0.8072289156626506]
BI-LO - 420,"[['37097060601', '37097060603', '37097060601']]",[0.10417320363978663],[0.8987292124254785],[0.20952306244116725],[0.7735915908822487]
HARRIS TEETER - 30,[['37119003018']],[0.06153846153846154],[0.9850202429149798],[0.03765182186234818],[0.7911242603550296]
MOSES CONE HEALTH SYSTEM OUTPATIENT PHARMACY,[['37081010300']],[0.14690408741400243],[0.8636179684338324],[0.2722470540430719],[0.722678458622868]
INGLES MARKETS - 116,"[['37043950101', '37043950102', '37043950201']]",[0.16492913201358791],[0.8499472882745696],[0.13084221623521144],[0.7616959064327485]
WALGREENS - 9458,"[['37021000500', '37021001601']]",[0.11283105575039304],[0.9259886322408998],[0.06808562099407425],[0.8321896444167186]
HARRIS TEETER - 342,"[['37081016007', '37081016007']]",[0.11610942249240122],[0.9144883485309018],[0.10982776089159067],[0.8401100580862122]
ASHWORTH REXALL DRUGS,"[['37183053507', '37183053517', '37183053507']]",[0.14300332565873625],[0.874136607828089],[0.14266223245501833],[0.8410036227022676]
SPECTRUM INFUSION,[['37183052504']],[0.11024643320363164],[0.9393284334918576],[0.09381755296152183],[0.7870738339259569]
WAL-MART SUPERCENTER - 1641,"[['37117970200', '37117970500', '37117970200']]",[0.21773006666089517],[0.9237295472253485],[0.17638382786743015],[0.6583493282149712]
RITE AID - 11328,"[['37001020801', '37001020802', '37001020901', '37001020802']]",[0.15486880466472303],[0.7987755102040817],[0.1574279379157428],[0.7422999817751048]
CVS - 3987,"[['37137950101', '37137950103']]",[0.21362353889560662],[0.901652559451834],[0.1397979797979798],[0.6565544113554133]
REALO DISCOUNT DRUG STORES,"[['37061090101', '37061090504', '37107011202', '37061090504']]",[0.14596117090835933],[0.8612815612111457],[0.17352158788622876],[0.7863163113534953]
WALGREENS - 10619,"[['37167930200', '37167931203']]",[0.27813357731015553],[0.911863372979567],[0.3008377760853008],[0.6895691609977325]
WAL-MART SUPERCENTER - 4594,"[['37071030501', '37071030601', '37071030601']]",[0.15332151138998773],[0.8955122084299549],[0.10585186195607693],[0.7105683633873545]
GATEWAY PHARMACY,"[['37067003202', '37067003314', '37067003315', '37081016203', '37067003202']]",[0.12767792954708843],[0.9238437574886174],[0.13194912804701803],[0.806844168572362]
MEDICAL PHARMACY OF LOCUST,"[['37167930802', '37167930801']]",[0.12581529445127138],[0.8918612345212212],[0.09458053532582994],[0.8129241664207731]
RITE AID - 11375,"[['37191001401', '37191001402', '37191001401']]",[0.29522586169985016],[0.922286448298009],[0.2749251176722294],[0.6628471547873374]
CVS - 4846,"[['37129010300', '37129010504']]",[0.1354484919702311],[0.8499804151978065],[0.34365689195546495],[0.7409140369967356]
MORRISVILLE PHARMACY AND COMPOUNDING,"[['37183053616', '37183053611']]",[0.06996260905691733],[0.9687577897798089],[0.02509347735770669],[0.8210636321411984]
WALGREENS - 10608,"[['37071030404', '37071030901']]",[0.1510045366169799],[0.9289263339814214],[0.11933797909407666],[0.7722054380664652]
CAROLINAS MEDICAL CENTER - MEDICAL CENTER PLAZA,[['37119000301']],[0.025604551920341393],[0.972972972972973],[0.044096728307254626],[0.9089529590288316]
CVS - 3643,"[['37067003308', '37067003311', '37067003312', '37067003307']]",[0.11168635064444804],[0.9333980477808337],[0.06938314134998386],[0.8014536126549807]
HARRIS TEETER - 379,[['37089931300']],[0.1675430210325048],[0.8271988527724665],[0.2447418738049713],[0.7718446601941747]
RITE AID - 11568,"[['37021001200', '37021001401', '37021001402']]",[0.13590116279069767],[0.8255813953488372],[0.08559894546053716],[0.8088639350137379]
WALGREENS - 10287,[['37119006212']],[0.0661317772915147],[0.9360564065159251],[0.060782883539995135],[0.8910209992758871]
HARRIS TEETER - 306,"[['37081012505', '37081012509', '37081012511', '37081012509']]",[0.08501149745662323],[0.9698975681137203],[0.032116176778607834],[0.8094888725849841]
RANDLEMAN DRUG,"[['37151031305', '37151031401']]",[0.1885822226886347],[0.8891803966838073],[0.25408195512482884],[0.709713734319717]
CAROLINA PHARMACY,[['37151030201']],[0.20253968253968255],[0.8476190476190476],[0.2092063492063492],[0.7787703625853915]
OAK RIDGE FAMILY PHARMACY,"[['37081016003', '37081016201', '37081015902']]",[0.07784653465346535],[0.963799504950495],[0.05500278103949076],[0.8081361236064932]
WALGREENS - 7715,"[['37147000501', '37147000501']]",[0.08591572388916216],[0.9162157730775538],[0.2705187130663165],[0.7330631152287204]
MEDICAL PARK PHARMACY AND HOME MEDICAL,[['37147001302']],[0.11703239289446186],[0.8321142459073494],[0.05690331787370674],[0.7617466802860061]
CENTRAL CAROLINA PHARMACY SERVICES,[['37025042402']],[0.10657306955966815],[0.8578493937460114],[0.13002552648372687],[0.7831984769157544]
CVS - 2306,[['37183053408']],[0.03736920777279522],[0.9738415545590433],[0.03761833582461385],[0.7724409448818897]
WAL-MART - 2000,"[['37055970102', '37055970102']]",[0.0865174672489083],[0.9295851528384279],[0.03657205240174673],[0.8904481665912177]
SCOTTIE'S HEALTH MART PHARMACY,[['37061090705']],[0.15675675675675677],[0.974903474903475],[0.1138996138996139],[0.8700564971751412]
RITE AID - 11347,"[['37081010100', '37081010300', '37081010900', '37081011000', '37081011101', '37081012707', '37081010900']]",[0.11850819100731963],[0.891699447293731],[0.32150832642123395],[0.6625958341814234]
GUY'S FAMILY PHARMACY INCORPORATED,"[['37057060500', '37057060800', '37057061000', '37057061000']]",[0.16561598461374077],[0.84811411475585],[0.19839560676214063],[0.6914902518617689]
CVS - 2357,[['37119006209']],[0.06613267611419182],[0.8864243171082358],[0.06798110494968165],[0.8676514032496307]
NALLE PHARMACY,[['37119002600']],[0.07114933541829555],[0.9366692728694292],[0.053166536356528536],[0.8621378621378621]
UNIVERSITY OF NORTH CAROLINA AT GREENSBORO STUDENT HEALTH PHARMACY,"[['37081010701', '37081010702', '37081010702']]",[0.07512046999801968],[0.9490395405637336],[0.24318469037732443],[0.6980974864602139]
WAL-MART SUPERCENTER - 4564,"[['37191000104', '37191001103', '37191001104', '37191001102']]",[0.1318717064602173],[0.892459826946848],[0.06803553038105047],[0.7483406562587641]
CVS - 7420,"[['37019020504', '37019020505', '37019020515', '37019020516', '37047931301', '37019020515']]",[0.1865477145148356],[0.9163993584603047],[0.08756014434643143],[0.6696581196581196]
BEST CARE PHARMACY LONG TERM CARE,[['37077970400']],[0.15896671634376552],[0.849478390461997],[0.24764033780427222],[0.7029580936729664]
RITE AID - 11538,"[['37049960700', '37049960700']]",[0.2571592210767468],[0.9289805269186713],[0.1736150770988007],[0.666955017301038]
SCOTLAND DRUG STORE,"[['37165010200', '37165010601', '37165010602', '37165010200']]",[0.17444643925792938],[0.8668461998803112],[0.30247933884297523],[0.6000964785335263]
AVACARE INCORPORATED,"[['37081016011', '37081980100', '37081016011']]",[0.0964724225297213],[0.9298382381602027],[0.20074059637497563],[0.806016305875738]
EXPRESS CARE PHARMACY,[['37013930300']],[0.15948154409692872],[0.8585517047055509],[0.29134967596506056],[0.6539013882240307]
RITE AID - 11408,"[['37063002022', '37063002024', '37063002022']]",[0.070803277540444],[0.9396316268646264],[0.061003699308996996],[0.8824167159471713]
RITE AID - 11421,[['37065021000']],[0.1471861471861472],[0.9513819513819514],[0.2590742590742591],[0.6792782305005821]
WARREN DRUG COMPANY,"[['37085070200', '37101041203', '37101041401', '37101041402', '37101041510', '37101041402']]",[0.12386035134534133],[0.8933177674004892],[0.23004799642817278],[0.7855970653537986]
CVS - 3803,[['37097061403']],[0.11811577220529647],[0.9784391844387157],[0.07197513151602104],[0.8661475713756025]
HARRIS TEETER,"[['37129011906', '37129011906']]",[0.10448807854137447],[0.9344319775596073],[0.32959326788218796],[0.8248436103663985]
CVS - 7324,"[['37131920103', '37091950101']]",[0.15831926467829677],[0.9045207278184205],[0.1330171635049684],[0.6726008344923505]
CVS - 7321,"[['37037020105', '37037020107', '37037020105']]",[0.0995415057915058],[0.9880550193050193],[0.04011824324324324],[0.845561004904414]
WALGREENS - 6480,"[['37119005533', '37119005527']]",[0.052248178849535296],[0.9241396634011555],[0.038683747802059784],[0.9479704797047971]
RITE AID - 11462,[['37159050201']],[0.19286719849835757],[0.8920694509619896],[0.3207414359455655],[0.7461041429114406]
CVS - 5264,"[['37119005816', '37119005852', '37119005816']]",[0.07536363636363637],[0.9500909090909091],[0.059654204761473706],[0.7976396085204376]
HARRIS TEETER - 221,[['37049960402']],[0.12514220705346984],[0.911490329920364],[0.1796434213495825],[0.8217864923747277]
KAITLYN'S PHARMACY,"[['37119005913', '37119005915', '37119005915']]",[0.0754793630159246],[0.8552973675658109],[0.041999023278528405],[0.8982092365692743]
BEHAVIORAL HEALTH CENTER CAROLINA MEDICAL CENTER RANDOLPH PHARMACY,"[['37119002300', '37119002300']]",[0.11274663326025681],[0.8969621046038209],[0.49764816556914393],[0.7130699088145896]
WALGREENS - 9288,"[['37191001900', '37191001900']]",[0.1329394387001477],[0.9153126538650911],[0.3249630723781389],[0.7287384119306731]
BI-LO - 200,"[['37119005513', '37119005526', '37119005530', '37119005525']]",[0.05929441768206291],[0.934613204873902],[0.0542646642108246],[0.80606424497148]
WALGREENS - 6742,"[['37071032600', '37071032600']]",[0.10755508919202518],[0.9493704092339978],[0.04036353916065223],[0.8393485915492958]
GIBSONVILLE PHARMACY,"[['37001021600', '37081015201', '37001021701']]",[0.125998731769182],[0.9275840202916931],[0.10270905219881066],[0.6255797888088424]
HARRIS TEETER - 208,"[['37119002201', '37119002201']]",[0.06273338312173264],[0.9626587005227782],[0.03472740851381628],[0.8906340895869692]
SAM'S CLUB - 6452,"[['37021001402', '37021001402']]",[0.14234363767074049],[0.7171099928109274],[0.09283915077365959],[0.8836385115180153]
HARRIS TEETER - 167,"[['37119005522', '37119005522']]",[0.10434245729573986],[0.8400905536118543],[0.006734738214208125],[0.9018229166666667]
BI-LO - 633,"[['37071032506', '37071032506']]",[0.06757912745936698],[0.9341317365269461],[0.1502708867978329],[0.8913207547169811]
WALGREENS - 7549,"[['37183054106', '37183054118']]",[0.10852065613608748],[0.8285236938031592],[0.12168141592920353],[0.7850457349500106]
FOOD LION - 1228,"[['37181960400', '37181960400']]",[0.19405066232860796],[0.9339995352079944],[0.0629793167557518],[0.7202204323866045]
PHARMACY ON THE PARK,[['37119002300']],[0.11274663326025681],[0.8969621046038209],[0.49764816556914393],[0.7130699088145896]
RITE AID - 11315,"[['37171930101', '37171930201', '37171930301', '37171930302', '37171930302']]",[0.18482588865561428],[0.8964019402012596],[0.2137509993458827],[0.7361419068736141]
WALGREENS - 1376,"[['37119002905', '37119002909', '37119002909']]",[0.049277951466428466],[0.9675450349858568],[0.05344647908292392],[0.8040141676505312]
WALGREENS - 4869,[['37119004200']],[0.1465546218487395],[0.8258823529411765],[0.16436974789915967],[0.7657266811279827]
BI-LO - 717,"[['37109070400', '37109070700', '37109070100']]",[0.16938244557031357],[0.8720388881281665],[0.16940676805041788],[0.7478223464888698]
WALGREENS - 11691,[['37051003800']],[0.22082810539523212],[0.8707653701380176],[0.354014598540146],[0.4941558441558442]
BI-LO - 444,"[['37119004306', '37119004307', '37119004306']]",[0.24335574767851426],[0.8426993275696446],[0.08741201505974791],[0.6760456273764258]
